Unit 2.1	abandon, abase, abash, abate, abbreviate, abdicate, aberrant, abet, abeyance, abhor
Unit 30.6	discrepancy, discrete, discretion, discretionary, discriminate, discursive, disdain, disengage, disgorge, disgruntle
Unit 30.7	dignified, disinclination, disinfect, disjointed, disinter, disinterested, disjunctive, dismantle, dismay, disparage
Unit 30.8	disparate, dispassionate, dispatch, dispose, disregard, dissect, dissemble, disseminate, dissension, dissent
Unit 30.9	dissipate, dissolute, dissolve, dissonance, dissuade, distain, distal, distend, distill, distort
Unit 30.10	distract, distraught, diurnal, diverge, diversity, divert, divestiture, divulge, dodder, dodge
Unit 31.1	doff, dogged, dogmatic, doldrums, dolorous, dolt, domicile, dominant, don, donor
Unit 31.2	doodle, dormant, dour, douse, downplay, doom, doyen, doze, draconian, drawl
Unit 31.3	dreary, drench, drivel, diminutive, drollness, drone, drudgery, dubious, ductile, dulcet
Unit 31.4	dullard, dupe, duplicitous, dwindle, dyspeptic, earnest, embryonic, earsplitting, eavesdrop, ebullient
Unit 31.5	eccentric, eclat, eclipse, ecstasy, ecumenical, edible, edifice, efface, effervesce, effete
Unit 31.6	effluvium, effrontery, effulgent, effusive, egalitarian, egoistic, elaborate, elastic, elate, eleemosynary
Unit 31.7	elegy, elephantine, elevate, elicit, elliptical, elucidate, emaciate, emancipate, embargo, embark
Unit 31.8	embarrass, embed, embezzle, embolden, emboss, embrace, embroider, emigrate, eminent, emollient
Unit 31.9	emulate, enact, enamel, encomium, encompass, encumber, endemic, endorse, enervate, enfranchise
Unit 31.10	engender, engross, enigma, enlighten, enmity, ennoble, ennui, expostulate, ensconce, ensue
Unit 32.1	entangle, episodic, entice, entrance, entrap, entreat, enunciate, ephemeral, epic, epicure
Unit 32.2	epigram, epilogue, epithet, epitomize, equable, equity, equivalent, equivocate, empirical, errant
Unit 32.3	erratic, erudite, escalate, eschew, esoteric, espouse, esteem, estimable, estrange, etch
Unit 32.4	eternal, ethereal, ethics, eulogize, euphemism, euphonious, euphoria, evacuate, evanescent, entail
Unit 32.5	everlasting, evict, evince, evoke, exacerbate, exacting, exalt, exasperate, excavate, exceptional
Unit 32.6	excoriate, excrete, excruciate, exculpate, excursive, execrate, exemplary, exempt, exhaust, exhilarate
Unit 32.7	exhort, exigent, exodus, exonerate, exorbitant, exotic, expansive, expedite, expediency, expiate
Unit 32.8	expire, explicit, exploit, exponent, expurgate, exquisite, extant, extemporize, extenuate, extinct
Unit 32.9	extinguish, extol, extort, extract, encyclopedic, extraneous, extravagant, extricate, exuberant, exude
Unit 32.10	exult, fable, fabricate, facetious, facile, facilitate, faction, fallacious, fallow, fail-safe
